path,scenario,trial,nr_r,success,runtime_s,exit_code,timeout,memory_exceeded,memory_peak_mb
experiments/evaluations/LGP/FMB/3objs/s002/trial_09_r/lgp_combined/trial_meta.json,s002,trial_09,r,False,153.28,-9,False,True,16083.91
experiments/evaluations/LGP/FMB/3objs/s002/trial_01_r/lgp_combined/trial_meta.json,s002,trial_01,r,False,300.88,-9,True,False,8316.33
experiments/evaluations/LGP/FMB/3objs/s002/trial_05_r/lgp_combined/trial_meta.json,s002,trial_05,r,False,155.88,-9,False,True,16098.13
experiments/evaluations/LGP/FMB/3objs/s002/trial_09_nr/lgp_combined/trial_meta.json,s002,trial_09,nr,False,98.94,-9,False,True,16007.71
experiments/evaluations/LGP/FMB/3objs/s002/trial_10_nr/lgp_combined/trial_meta.json,s002,trial_10,nr,False,98.0,-9,False,True,16010.18
experiments/evaluations/LGP/FMB/3objs/s002/trial_02_nr/lgp_combined/trial_meta.json,s002,trial_02,nr,False,97.68,-9,False,True,16001.1
experiments/evaluations/LGP/FMB/3objs/s002/trial_03_nr/lgp_combined/trial_meta.json,s002,trial_03,nr,False,98.67,-9,False,True,16009.23
experiments/evaluations/LGP/FMB/3objs/s002/trial_04_nr/lgp_combined/trial_meta.json,s002,trial_04,nr,False,98.38,-9,False,True,16001.7
experiments/evaluations/LGP/FMB/3objs/s002/trial_01_nr/lgp_combined/trial_meta.json,s002,trial_01,nr,False,98.03,-9,False,True,16006.23
experiments/evaluations/LGP/FMB/3objs/s002/trial_07_nr/lgp_combined/trial_meta.json,s002,trial_07,nr,False,65.32,-9,False,True,16080.79
experiments/evaluations/LGP/FMB/3objs/s001/trial_06_nr/lgp_combined/trial_meta.json,s001,trial_06,nr,False,76.01,-9,False,True,16000.11
experiments/evaluations/LGP/FMB/3objs/s001/trial_02_r/lgp_combined/trial_meta.json,s001,trial_02,r,False,45.57,-9,False,True,16036.81
experiments/evaluations/LGP/FMB/3objs/s001/trial_08_nr/lgp_combined/trial_meta.json,s001,trial_08,nr,False,122.26,-9,False,True,16034.96
experiments/evaluations/LGP/FMB/3objs/s001/trial_04_r/lgp_combined/trial_meta.json,s001,trial_04,r,False,83.53,-9,False,True,16077.61
experiments/evaluations/LGP/FMB/3objs/s001/trial_07_r/lgp_combined/trial_meta.json,s001,trial_07,r,False,45.57,-9,False,True,16036.09
experiments/evaluations/LGP/FMB/3objs/s001/trial_08_r/lgp_combined/trial_meta.json,s001,trial_08,r,False,300.88,-9,True,False,9092.84
experiments/evaluations/LGP/FMB/3objs/s001/trial_05_nr/lgp_combined/trial_meta.json,s001,trial_05,nr,False,121.67,-9,False,True,16045.05
experiments/evaluations/LGP/FMB/3objs/s001/trial_06_r/lgp_combined/trial_meta.json,s001,trial_06,r,False,83.02,-9,False,True,16049.21
experiments/evaluations/LGP/FMB/3objs/s001/trial_03_r/lgp_combined/trial_meta.json,s001,trial_03,r,False,45.58,-9,False,True,16026.66
experiments/evaluations/LGP/FMB/3objs/s001/trial_10_r/lgp_combined/trial_meta.json,s001,trial_10,r,False,83.62,-9,False,True,16057.11
experiments/evaluations/LGP/FMB/3objs/s001/trial_09_r/lgp_combined/trial_meta.json,s001,trial_09,r,False,45.53,-9,False,True,16047.52
experiments/evaluations/LGP/FMB/3objs/s001/trial_01_r/lgp_combined/trial_meta.json,s001,trial_01,r,False,300.77,-9,True,False,8924.41
experiments/evaluations/LGP/FMB/3objs/s001/trial_05_r/lgp_combined/trial_meta.json,s001,trial_05,r,False,45.21,-9,False,True,16005.58
experiments/evaluations/LGP/FMB/3objs/s001/trial_09_nr/lgp_combined/trial_meta.json,s001,trial_09,nr,False,121.54,-9,False,True,16033.98
experiments/evaluations/LGP/FMB/3objs/s001/trial_10_nr/lgp_combined/trial_meta.json,s001,trial_10,nr,False,121.6,-9,False,True,16071.13
experiments/evaluations/LGP/FMB/3objs/s001/trial_02_nr/lgp_combined/trial_meta.json,s001,trial_02,nr,False,76.63,-9,False,True,16085.81
experiments/evaluations/LGP/FMB/3objs/s001/trial_03_nr/lgp_combined/trial_meta.json,s001,trial_03,nr,False,121.62,-9,False,True,16038.28
experiments/evaluations/LGP/FMB/3objs/s001/trial_04_nr/lgp_combined/trial_meta.json,s001,trial_04,nr,False,121.65,-9,False,True,16046.05
experiments/evaluations/LGP/FMB/3objs/s001/trial_01_nr/lgp_combined/trial_meta.json,s001,trial_01,nr,False,123.41,-9,False,True,16088.86
experiments/evaluations/LGP/FMB/3objs/s001/trial_07_nr/lgp_combined/trial_meta.json,s001,trial_07,nr,False,76.05,-9,False,True,16064.86
experiments/evaluations/LGP/FMB/3objs/s004/trial_06_nr/lgp_combined/trial_meta.json,s004,trial_06,nr,False,79.55,-9,False,True,16010.97
experiments/evaluations/LGP/FMB/3objs/s004/trial_02_r/lgp_combined/trial_meta.json,s004,trial_02,r,False,228.71,-9,False,True,16027.83
experiments/evaluations/LGP/FMB/3objs/s004/trial_08_nr/lgp_combined/trial_meta.json,s004,trial_08,nr,False,79.58,-9,False,True,16019.08
experiments/evaluations/LGP/FMB/3objs/s004/trial_04_r/lgp_combined/trial_meta.json,s004,trial_04,r,False,111.48,-9,False,True,16009.76
experiments/evaluations/LGP/FMB/3objs/s004/trial_07_r/lgp_combined/trial_meta.json,s004,trial_07,r,False,230.47,-9,False,True,16125.06
experiments/evaluations/LGP/FMB/3objs/s004/trial_08_r/lgp_combined/trial_meta.json,s004,trial_08,r,False,228.29,-9,False,True,16064.77
experiments/evaluations/LGP/FMB/3objs/s004/trial_05_nr/lgp_combined/trial_meta.json,s004,trial_05,nr,False,79.55,-9,False,True,16042.24
experiments/evaluations/LGP/FMB/3objs/s004/trial_06_r/lgp_combined/trial_meta.json,s004,trial_06,r,False,228.66,-9,False,True,16031.62
experiments/evaluations/LGP/FMB/3objs/s004/trial_03_r/lgp_combined/trial_meta.json,s004,trial_03,r,False,109.37,-9,False,True,16016.29
experiments/evaluations/LGP/FMB/3objs/s004/trial_10_r/lgp_combined/trial_meta.json,s004,trial_10,r,False,229.13,-9,False,True,16011.05
experiments/evaluations/LGP/FMB/3objs/s004/trial_09_r/lgp_combined/trial_meta.json,s004,trial_09,r,False,109.29,-9,False,True,16000.83
experiments/evaluations/LGP/FMB/3objs/s004/trial_01_r/lgp_combined/trial_meta.json,s004,trial_01,r,False,301.03,-9,True,False,12817.89
experiments/evaluations/LGP/FMB/3objs/s004/trial_05_r/lgp_combined/trial_meta.json,s004,trial_05,r,True,97.41,0,False,False,384.8
experiments/evaluations/LGP/FMB/3objs/s004/trial_09_nr/lgp_combined/trial_meta.json,s004,trial_09,nr,False,79.9,-9,False,True,16028.68
experiments/evaluations/LGP/FMB/3objs/s004/trial_10_nr/lgp_combined/trial_meta.json,s004,trial_10,nr,False,79.24,-9,False,True,16043.54
experiments/evaluations/LGP/FMB/3objs/s004/trial_02_nr/lgp_combined/trial_meta.json,s004,trial_02,nr,False,81.03,-9,False,True,16028.3
experiments/evaluations/LGP/FMB/3objs/s004/trial_03_nr/lgp_combined/trial_meta.json,s004,trial_03,nr,False,80.52,-9,False,True,16013.32
experiments/evaluations/LGP/FMB/3objs/s004/trial_04_nr/lgp_combined/trial_meta.json,s004,trial_04,nr,False,59.79,-9,False,True,16032.05
experiments/evaluations/LGP/FMB/3objs/s004/trial_01_nr/lgp_combined/trial_meta.json,s004,trial_01,nr,False,79.91,-9,False,True,16025.11
experiments/evaluations/LGP/FMB/3objs/s004/trial_07_nr/lgp_combined/trial_meta.json,s004,trial_07,nr,False,60.49,-9,False,True,16054.25
